positive,negative,final,time
12.626339580451031,-20.7976441320241,-8.17130455157307,2016-12
2174.6603869059177,-528.2960487414954,1646.3643381644224,2016-12
500.69494848404554,-239.26588066539563,261.4290678186499,2014-02
4.770445123396001,0.0,4.770445123396001,2014-11
107.8701246293183,-89.00982388459252,18.860300744725777,2014-11
13.272279575801827,-10.6660302433046,2.6062493324972262,2016-01
5.7597290208149,-3.7675615721180002,1.9921674486968999,2017-01
317.88397182613363,-94.62579804655907,223.25817377957458,2015-12
91.52981788801975,-24.778369549072,66.75144833894775,2017-02
3.26721228558043,-2.6168508936763,0.6503613919041302,2014-11
198.55163247671035,-126.22707337684108,72.32455909986928,2017-01
112.48016170404068,-38.783359832879704,73.69680187116097,2015-12
654.2025406614484,-126.16438993979249,528.0381507216559,2017-01
132.93895079930516,-30.884682657819646,102.05426814148552,2016-01
